title,year,realized_circ,n_quotes
Toy Story 2,1999,7.011691599039458,4
Toy Story 3,2010,8.531780687868096,4
Toy Story 4,2019,12.488164030918965,4
Trainspotting,1996,2.412832280298122,4
Transformers,2007,7.0194125356673025,4
Transformers: Age of Extinction,2014,4.8737048717817295,4
Transformers: Dark of the Moon,2011,10.486266705509532,4
Transformers: Revenge of the Fallen,2009,7.2668089821410256,4
Treasure Planet,2002,4.846977422438573,4
Trolls World Tour,2020,4.651484054651843,4
Tron,1982,9.381005625283706,4
Turning Red,2022,4.172658015953341,4
Uncut Gems,2019,7.760048911455388,4
Up,2009,10.958122601260898,4
Valerian and the City of a Thousand Planets,2017,8.229614796941224,4
Venom: Let There Be Carnage,2021,5.6410184262103895,4
Waterworld,1995,5.338421755051374,4
Wet Hot American Summer,2001,8.137649039095587,4
Whiplash,2014,6.788836696581061,4
Wish,2023,6.836004416640056,4
Withnail and I,1987,8.661699931784764,4
Wonder Woman,2017,8.850589785547598,4
Wonder Woman 1984,2020,8.951601370323234,4
Wreck-It Ralph,2012,7.7126256834676985,4
X-Men: Apocalypse,2016,10.979853444994575,4
X-Men: Days of Future Past,2014,11.46499862716773,4
X-Men: The Last Stand,2006,9.001662381008343,4
Zootopia,2016,9.582422732362657,4
