title,year,star_power,director,runtime,original_language,release_month,release_season,is_adaptation,n_cast
Hocus Pocus,1993,2.2417333333333334,Kenny Ortega,96.0,en,7.0,Summer,0,32
The Iron Giant,1999,4.541300000000001,Brad Bird,86.0,en,8.0,Summer,1,30
Treasure Planet,2002,4.330266666666667,John Musker,96.0,en,11.0,Fall,1,31
Children of Men,2006,2.6110666666666664,Alfonso Cuarón,109.0,en,9.0,Fall,1,79
Snatch,2000,5.997599999999999,Guy Ritchie,103.0,en,9.0,Fall,0,71
"Lock, Stock and Two Smoking Barrels",1998,1.8750333333333333,Guy Ritchie,105.0,en,8.0,Summer,0,44
Trainspotting,1996,2.5361666666666665,Danny Boyle,94.0,en,2.0,Winter,1,26
Requiem for a Dream,2000,4.671466666666666,Darren Aronofsky,102.0,en,10.0,Fall,0,74
Dredd,2012,4.7044,Pete Travis,96.0,en,9.0,Fall,1,34
Edge of Tomorrow,2014,6.848766666666666,Doug Liman,114.0,en,5.0,Spring,1,43
Blade Runner 2049,2017,6.223733333333333,Denis Villeneuve,164.0,en,10.0,Fall,0,39
The Nice Guys,2016,4.662433333333333,Shane Black,116.0,en,5.0,Spring,0,67
Annihilation,2018,3.876,Alex Garland,115.0,en,2.0,Winter,1,19
Sorry to Bother You,2018,2.1720333333333333,Boots Riley,112.0,en,7.0,Summer,0,93
Swiss Army Man,2016,4.0393,Daniel Kwan,97.0,en,6.0,Summer,0,11
The Lighthouse,2019,3.4307666666666665,Robert Eggers,109.0,en,10.0,Fall,1,10
Mandy,2018,5.177533333333334,Panos Cosmatos,122.0,en,9.0,Fall,0,17
Hackers,1995,4.355366666666666,Iain Softley,105.0,en,9.0,Fall,0,62
Empire Records,1995,2.0180000000000002,Allan Moyle,90.0,en,9.0,Fall,0,28
Dazed and Confused,1993,2.3728000000000002,Richard Linklater,102.0,en,9.0,Fall,0,66
This Is Spinal Tap,1984,1.423,Rob Reiner,82.0,en,3.0,Spring,0,53
Brazil,1985,3.4692000000000003,Terry Gilliam,143.0,en,2.0,Winter,0,43
Repo Man,1984,1.96,Alex Cox,92.0,en,3.0,Spring,0,76
Withnail and I,1987,1.5408,Bruce Robinson,108.0,en,6.0,Summer,0,14
A Clockwork Orange,1971,1.4795333333333334,Stanley Kubrick,137.0,en,10.0,Fall,1,48
Eraserhead,1977,0.7180666666666666,David Lynch,89.0,en,9.0,Fall,0,18
Harold and Maude,1971,0.7315666666666667,Hal Ashby,92.0,en,12.0,Winter,0,21
John Carter,2012,2.5732,Andrew Stanton,132.0,en,3.0,Spring,1,60
The Lone Ranger,2013,3.9743666666666666,Gore Verbinski,149.0,en,7.0,Summer,0,80
Cutthroat Island,1995,2.2073,Renny Harlin,124.0,en,12.0,Winter,0,36
Heaven's Gate,1980,2.909966666666667,Michael Cimino,217.0,en,11.0,Fall,0,64
Waterworld,1995,3.6186333333333334,Kevin Reynolds,135.0,en,7.0,Summer,0,38
Ishtar,1987,2.8886,Elaine May,107.0,en,5.0,Spring,0,60
Battlefield Earth,2000,3.7103333333333333,Roger Christian,119.0,en,5.0,Spring,1,19
The Adventures of Pluto Nash,2002,3.5528666666666666,Ron Underwood,95.0,en,8.0,Summer,0,51
Mars Needs Moms,2011,2.3396333333333335,Simon Wells,88.0,en,3.0,Spring,0,21
Gigli,2003,3.9115333333333333,Martin Brest,122.0,en,8.0,Summer,0,25
Catwoman,2004,3.3901333333333334,Pitof,104.0,en,7.0,Summer,1,59
The 13th Warrior,1999,2.2047,John McTiernan,103.0,en,8.0,Summer,1,53
Sahara,2005,3.9658333333333338,Breck Eisner,124.0,en,4.0,Spring,1,38
Final Fantasy: The Spirits Within,2001,2.962566666666667,Hironobu Sakaguchi,106.0,en,7.0,Summer,1,33
Speed Racer,2008,3.5137666666666667,Lana Wachowski,135.0,en,5.0,Spring,1,82
Jupiter Ascending,2015,4.887166666666666,Lilly Wachowski,127.0,en,2.0,Winter,0,81
Tomorrowland,2015,2.5170999999999997,Brad Bird,130.0,en,5.0,Spring,0,89
The Golden Compass,2007,4.3114333333333335,Chris Weitz,113.0,en,12.0,Winter,0,59
Pan,2015,3.498333333333333,Joe Wright,111.0,en,9.0,Fall,0,82
King Arthur: Legend of the Sword,2017,3.5615666666666663,Guy Ritchie,126.0,en,5.0,Spring,0,66
Valerian and the City of a Thousand Planets,2017,2.7407333333333335,Luc Besson,137.0,en,7.0,Summer,1,120
Ben-Hur,2016,2.3391333333333333,Timur Bekmambetov,125.0,en,8.0,Summer,1,27
Monster Trucks,2016,2.978666666666667,Chris Wedge,104.0,en,12.0,Winter,0,36
A Wrinkle in Time,2018,2.5477333333333334,Ava DuVernay,109.0,en,3.0,Spring,1,38
Cats,2019,3.092,Tom Hooper,110.0,en,12.0,Winter,1,79
The Happening,2008,4.192066666666666,M. Night Shyamalan,90.0,en,6.0,Summer,0,70
Green Lantern,2011,3.6123333333333334,Martin Campbell,114.0,en,6.0,Summer,1,28
R.I.P.D.,2013,4.8566666666666665,Robert Schwentke,96.0,en,7.0,Summer,1,43
47 Ronin,2013,4.827633333333334,Carl Rinsch,119.0,en,12.0,Winter,1,27
Dark Phoenix,2019,3.831433333333333,Simon Kinberg,114.0,en,6.0,Summer,1,90
Terminator: Dark Fate,2019,3.6584,Tim Miller,128.0,en,10.0,Fall,0,69
Solo: A Star Wars Story,2018,2.3134333333333337,Ron Howard,135.0,en,5.0,Spring,0,103
Babylon,2022,7.588533333333333,Damien Chazelle,189.0,en,12.0,Winter,0,243
Amsterdam,2022,5.512166666666666,David O. Russell,134.0,en,9.0,Fall,1,71
Strange World,2022,3.326033333333333,Don Hall,102.0,en,11.0,Fall,0,18
The Marvels,2023,1.7280999999999997,Nia DaCosta,105.0,en,11.0,Fall,1,32
Mortal Engines,2018,2.0935,Christian Rivers,128.0,en,11.0,Fall,1,56
Robin Hood,2018,3.3447,Otto Bathurst,116.0,en,11.0,Fall,0,30
The Nutcracker and the Four Realms,2018,1.1545333333333334,Lasse Hallström,99.0,en,10.0,Fall,1,36
Cleopatra,1963,1.6039333333333332,Joseph L. Mankiewicz,251.0,en,6.0,Summer,0,42
The Blair Witch Project,1999,0.6453333333333333,Daniel Myrick,81.0,en,7.0,Summer,0,10
Paranormal Activity,2007,0.3547666666666667,Oren Peli,86.0,en,9.0,Fall,0,9
Once,2007,0.27553333333333335,John Carney,85.0,en,3.0,Spring,0,35
Little Miss Sunshine,2006,2.811733333333333,Jonathan Dayton,102.0,en,7.0,Summer,0,43
Juno,2007,4.533333333333333,Jason Reitman,96.0,en,12.0,Winter,0,30
Get Out,2017,2.3501,Jordan Peele,104.0,en,2.0,Winter,0,29
Hereditary,2018,2.0318,Ari Aster,128.0,en,6.0,Summer,0,28
The Witch,2015,3.385733333333333,Robert Eggers,92.0,en,2.0,Winter,0,33
It Follows,2014,1.9517,David Robert Mitchell,101.0,en,2.0,Winter,0,30
