title,year,n_quotes_measured,circ_sum,circ_top3,circ_max
Harold and Maude,1971,4.0,7.359467638255621,5.766349048928937,7.115582126184454
Harry Potter and the Deathly Hallows – Part 2,2011,4.0,15.57021506044965,9.109631648375302,15.569914413658926
Heathers,1988,4.0,14.4487914853236,10.967305928799997,14.436087583323648
Heaven's Gate,1980,4.0,7.891330757661889,3.092167524743284,7.890208213109961
Her,2013,4.0,13.475075881235997,11.956430993942282,13.081543466215237
Hereditary,2018,4.0,10.56954612740534,9.360899214030303,9.841665338892785
Hocus Pocus,1993,4.0,14.05989648395455,10.678925678954363,14.04662307257814
Hop,2011,4.0,10.64787427603904,8.519238547183809,10.534785924769006
Horton Hears a Who!,2008,4.0,12.197687588995734,8.996073772553812,12.175618592671356
How to Train Your Dragon,2010,4.0,11.433903902417171,10.214600378499044,10.883710371704016
How to Train Your Dragon 2,2014,4.0,13.830776439184707,11.4429585354525,13.555444949561487
Ice Age: Collision Course,2016,4.0,13.203751640949863,9.340782365100905,13.195615697878253
Ice Age: Continental Drift,2012,4.0,5.8289456176102075,2.4021257638240843,5.820082930352362
Ice Age: Dawn of the Dinosaurs,2009,4.0,5.493061443340548,3.4259582350244773,4.875197323201151
Ice Age: The Meltdown,2006,4.0,10.342613072136906,7.655496476770568,10.278527816830314
Idiocracy,2006,4.0,6.4457198193855785,4.5614530626601475,6.066108090103747
Inception,2010,4.0,8.252185436003328,6.828634386265136,7.897668150726906
Incredibles 2,2018,4.0,18.852726820421733,12.86806353098575,18.85246316687141
Inglourious Basterds,2009,4.0,10.047587896509885,6.7374604754841725,10.030164255362632
Inside Out 2,2024,4.0,10.385018239245094,9.195013282840636,9.367429587218957
Interstellar,2014,4.0,11.082788494056414,9.459653877241736,10.675931008412125
Iron Man,2008,4.0,11.692058610846669,8.882109169362545,11.6172944892629
Iron Man 2,2010,4.0,11.692058610846669,8.882109169362545,11.6172944892629
Iron Man 3,2013,4.0,11.649473552790798,8.376666716890112,11.608244735642321
Jennifer's Body,2009,4.0,11.029698795395019,9.250064281844997,10.843514342086866
John Carter,2012,4.0,7.216709486709457,3.848325435045121,7.201170883281678
Juno,2007,4.0,8.82776136765472,7.477190319754662,7.507141079727608
