title,year,status,imdb_id,subtitle_available,estimated_word_count,dialogue_line_count,avg_dialogue_length,longest_monologue_words,unique_character_count,sentiment_mean,sentiment_std,sentiment_peak,exclamation_ratio,question_ratio,profanity_score,vocabulary_richness,avg_sentence_complexity,humor_indicator,romance_indicator,violence_indicator,short_punchy_count,short_punchy_density,rare_proper_noun_count,sentiment_spike
Guardians of the Galaxy Vol. 2,2017,success,tt3896198,True,9282.0,1622.0,5.722564734895191,17.0,0.0,-0.0112008179517427,0.159493701445622,1.0,0.1627620221948212,0.1393341553637484,6.507592190889371,0.3155196213764543,5.37463810075275,0.9859988168014198,9.859988168014198,10.057187931374482,675.0,0.4161528976572133,201.0,1.3333333333333333
Guardians of the Galaxy Vol. 3,2023,success,tt6791350,True,8719.0,1618.0,5.388751545117429,19.0,6.0,-0.0041062951727897,0.1715955199486407,1.0,0.1328800988875154,0.1588380716934487,4.877057508636455,0.2985165616744564,4.725745257452575,1.016053647632595,6.09632188579557,8.33163991058728,753.0,0.465389369592089,243.0,2.0
Thor,2011,success,tt0800369,True,6522.0,1102.0,5.918330308529946,17.0,1.0,-0.0044909196825498,0.1791395050976082,1.0,0.1306715063520871,0.1705989110707804,1.6896648831315122,0.3551112362714728,5.68613775065388,0.5632216277105041,3.0977189524077726,11.264432554210082,374.0,0.3393829401088929,213.0,1.25
Thor: The Dark World,2013,success,tt1981115,True,6253.0,1137.0,5.499560246262093,16.0,0.0,-0.0088332255548614,0.1470777938315484,1.0,0.0800351802990325,0.1565523306948109,2.365464222353637,0.3778829095209935,5.326235093696763,0.2956830277942046,4.139562389118865,10.34890597279716,469.0,0.4124890061565523,189.0,1.5
Thor: Ragnarok,2017,success,tt3501632,True,9180.0,1568.0,5.854591836734694,19.0,0.0,-0.0064416813699339,0.1766411142288933,1.0,0.0758928571428571,0.15625,3.245513554791905,0.2936235204276441,5.03013698630137,1.145475372279496,6.8728522336769755,7.827415043909888,653.0,0.4164540816326531,242.0,1.5
Iron Man,2008,success,tt0371746,True,9874.0,1422.0,6.943741209563995,18.0,0.0,0.0081071793888249,0.1323823378506191,1.0,0.1054852320675105,0.2025316455696202,1.4342058085335248,0.3234134098243097,5.5008356545961,1.6134815346002152,3.4062387952671207,5.378271782000717,402.0,0.2827004219409282,330.0,1.1666666666666667
Iron Man 2,2010,success,tt1228705,True,11221.0,1524.0,7.3628608923884515,21.0,0.0,0.0105311719484947,0.1171213479555216,1.0,0.0479002624671916,0.2139107611548556,2.211341020375928,0.3080082135523614,5.238562091503268,1.105670510187964,2.211341020375928,5.52835255093982,407.0,0.2670603674540682,296.0,1.1
Captain America: The First Avenger,2011,success,tt0458339,True,7416.0,1200.0,6.18,17.0,0.0,0.0012130766156501,0.125442014194105,1.0,0.1166666666666666,0.1916666666666666,3.78698224852071,0.3772781065088757,5.601208459214502,0.0,2.366863905325444,12.544378698224852,427.0,0.3558333333333333,286.0,1.1666666666666667
Captain America: The Winter Soldier,2014,no_subtitle,tt1843866,False,,,,,,,,,,,,,,,,,,,,
Ant-Man,2015,success,tt0478970,True,9613.0,1630.0,5.897546012269939,16.0,1.0,0.0056530773248564,0.1452223030854894,1.0,0.1024539877300613,0.1742331288343558,4.453152832205202,0.3070894193088707,5.394500561167228,0.8906305664410402,4.987531172069826,6.590666191663698,650.0,0.3987730061349693,273.0,1.3333333333333333
Ant-Man and the Wasp,2018,success,tt5095030,True,10244.0,1932.0,5.3022774327122155,15.0,0.0,-0.0033275859751015,0.1798882605648349,1.0,0.129399585921325,0.1728778467908902,4.603580562659846,0.2775788576300085,4.707720588235294,1.5345268542199488,7.672634271099745,2.557544757033248,833.0,0.4311594202898551,244.0,2.0
